Team_Experience_Avg,Tech_Stack_Diversity,Commit_Velocity,Communication_Freq,Sleep_Hours,Prior_Wins,Target
7,Medium,34.25398090796725,47.88419224296575,4.337066447614004,1,1
4,Medium,25.317815681615908,49.18856254379697,5.033122294169487,4,0
8,Medium,42.29114768069534,10.0,4.103763476444769,2,1
5,Low,25.742792440828485,41.523291562012474,4.7460100972490595,5,1
7,Medium,35.97624964861164,21.466482095593218,4.753182341631708,4,1
10,High,25.383005875224246,52.68825055804553,6.210400325045096,1,1
3,Medium,28.938875948105785,44.800480226635315,2.0,2,0
7,Medium,24.185612190572204,32.613909175849194,4.155620407957904,0,0
8,High,25.95301353873937,52.23793408977198,6.881954521656434,0,0
5,Medium,26.70531860387999,52.06558306013886,5.843719884974892,4,0
4,Low,18.302681675116062,80.37248078912855,6.90692939319052,2,0
8,Medium,20.98931333076912,63.7283500089346,6.138184032159027,4,1
8,Medium,22.83244983513828,54.339455800737454,3.374727339485284,2,0
3,Medium,27.297110168022968,31.049710526972156,5.991345756679364,2,0
6,Medium,24.69420980496533,28.53121761785023,5.150289200139144,4,0
5,Medium,36.730325338257074,61.97696014873215,8.0,2,1
2,Medium,33.471183189796406,45.9986125511914,6.203246873741614,5,1
8,Medium,23.036724439746276,54.98731182253215,5.785051111516401,1,1
6,High,38.81783897451939,69.5600104834312,6.004136395011967,2,1
2,Medium,43.730206235754565,19.7372244971638,5.703268312499936,5,1
5,Low,5.0,77.94070770057988,5.66270169161911,2,0
1,Medium,34.32290085066279,69.38763573897992,4.600559945904623,5,1
10,Low,18.070158026685007,10.0,5.8032093305300005,4,0
6,Medium,33.007480213232995,97.06184897821954,6.422700020409043,0,1
9,Medium,37.38237940646432,56.42752638162913,6.590492103548128,3,1
1,Low,16.23007405489448,40.429233991540926,6.4086752294052705,2,0
10,Medium,6.476729009842394,60.381244472098516,7.2620954692281074,3,0
3,Low,33.35434088215865,30.450507261225283,6.684338184955887,2,0
7,Low,26.354024824836113,60.92256706387102,5.942776871151155,4,1
4,Medium,8.315612460973718,34.13007083329377,3.284508800504447,4,0
9,Medium,50.0,90.40719070941202,3.2850975157563735,5,1
3,High,31.24419412256552,51.20200387812802,4.627798395107974,2,1
5,Medium,31.701000401251523,62.99646104145648,5.070130529071578,4,1
3,Medium,38.65817752562049,34.27869800695722,7.097002296804893,4,1
7,Medium,19.19176047153498,66.32992047786716,2.0,2,0
5,Low,26.304541120886768,49.748398729957756,3.4501906058853566,5,0
9,High,11.80678086220237,21.762965833561104,4.708668628302745,5,0
7,Medium,18.920515527148154,45.22474560223504,3.5047135570509673,5,0
2,Medium,28.85660000469238,88.62222137725075,3.8028389924446033,5,0
4,Low,8.347153328675478,67.17954052086615,4.251256856171846,0,0
9,Medium,18.637104543219188,42.42049862187013,3.5812612038885967,2,0
2,Medium,15.720660400622794,12.616684779981298,3.8413635088767855,0,0
10,High,26.42092245620345,33.35017643538737,7.044848845541678,4,0
9,Low,30.747012616653485,21.870519919310773,5.921477510242969,0,0
10,Medium,32.42152804376457,13.099839871330033,6.145915017113006,5,0
5,High,34.98816644778151,65.71182260330605,4.948815863813067,4,1
2,Medium,38.72116846572371,51.247747927603314,6.516657819007642,0,1
4,Medium,31.07245453683406,85.90216896687882,6.271697476959176,0,1
7,Low,43.873358988944155,30.04716202404742,5.897806871660542,2,1
8,High,26.19502521264682,49.954381304817396,4.018753917286833,0,0
3,Low,23.266788457494524,22.116512965061716,4.336944277415187,4,0
1,Medium,31.0730736336004,38.10253277667515,6.587195148098553,5,0
4,Medium,22.835888250074113,45.55780076134828,4.224899387823568,2,0
2,Low,43.525647287750495,42.506920643767046,3.0672137956033163,0,0
8,Medium,36.30983473135212,51.07081261231002,4.195972887854032,2,1
4,Low,32.50278144199514,69.43219126502774,7.339108523328679,3,1
2,Low,26.314193440413508,67.32835170909108,4.1974450034126045,2,0
6,Medium,20.92522828585137,34.61330831817401,5.491482187980038,5,0
6,High,32.013250045677594,49.392917562727014,4.076468111942828,3,1
10,Medium,13.72902548153041,65.88192749918888,6.145138331728049,3,0
4,Medium,40.34363533441021,70.71473014859012,5.805198786054534,2,1
6,Low,23.223632946146264,36.77686630691694,2.7632228882519563,4,0
2,Low,28.051067332407293,64.16328909600479,5.4020479806289705,5,1
10,Low,15.903989238067112,56.62293018375402,2.476119669052149,4,0
2,Low,32.22986263119221,28.680217729221418,4.168898303856635,5,0
10,Medium,20.462583871616715,66.00315925171469,4.982849125051434,5,1
4,Medium,31.492287903050983,53.03086416864938,7.770298873193745,4,1
8,Medium,32.57393468977389,15.172187873469476,5.476868697648765,1,0
7,Low,18.523678864114594,44.122928785772615,3.849370869105436,3,0
9,Medium,13.764708790860052,50.79715083169945,4.5241848462251,2,0
8,High,40.31899916544545,37.883510423648126,6.386295161663756,4,1
5,Low,23.07700965970918,74.5645685099705,3.869724737390049,4,0
2,High,27.248488160456382,75.2893698135621,6.645467747002236,2,0
5,High,29.85464524646742,42.350196821743104,4.215423082928907,3,1
